147,THU,1230,1345,CSB,209
148,TUE,1400,1515,GAVET,305
148,THU,1400,1515,GAVET,305
149,TUE,940,1055,GAVET,305
149,THU,940,1055,GAVET,305
150,TUE,1525,1640,CSB,628
150,THU,1525,1640,CSB,628
151,MON,1650,1805,CSB,628
151,WEN,1650,1805,CSB,628
152,MON,1025,1140,CSB,628
152,WEN,1025,1140,CSB,628
153,TUE,940,1055,CSB,628
153,THU,940,1055,CSB,628
154,TUE,1230,1345,CSB,601
154,THU,1230,1345,CSB,601
155,MON,1400,1515,CSB,523
155,WEN,1400,1515,CSB,523
156,THU,1525,1805,HOPE,202
157,WEN,900,1015,HOPE,202
158,MON,1025,1115,CSB,601
158,WEN,1025,1115,CSB,601
158,FRI,1025,1115,CSB,601
159,NULL,NULL,NULL,NULL,NULL
160,MON,1650,1805,CSB,628
160,WEN,1650,1805,CSB,628
161,TUE,1525,1640,CSB,628
161,THU,1525,1640,CSB,628
162,MON,1525,1640,CSB,628
162,WEN,1525,1640,CSB,628
163,TUE,1230,1345,CSB,601
163,THU,1230,1345,CSB,601
164,TUE,1400,1515,B&L,109
164,THU,1400,1515,B&L,109
165,TUE,1105,1220,DEWEY,2110E
165,THU,1105,1220,DEWEY,2110E
166,TUE,1105,1220,B&L,270
166,THU,1105,1220,B&L,270
167,TUE,1230,1345,B&L,203H
167,THU,1230,1345,B&L,203H
168,NULL,NULL,NULL,NULL,NULL
169,NULL,NULL,NULL,NULL,NULL
170,TUE,1230,1345,LCHAS,182
170,THU,1230,1345,LCHAS,182
171,NULL,NULL,NULL,NULL,NULL
172,NULL,NULL,NULL,NULL,NULL
173,NULL,NULL,NULL,NULL,NULL
174,NULL,NULL,NULL,NULL,NULL
175,NULL,NULL,NULL,NULL,NULL
176,NULL,NULL,NULL,NULL,NULL
177,NULL,NULL,NULL,NULL,NULL
178,TUE,1230,1345,LCHAS,163
178,THU,1230,1345,LCHAS,163
179,TUE,940,1055,HUTCH,141
179,THU,940,1055,HUTCH,141
180,MON,1525,1640,HUTCH,141
180,WEN,1525,1640,HUTCH,141
181,TUE,1105,1220,DEWEY,1101
181,THU,1105,1220,DEWEY,1101
182,MON,1230,1345,STRNG,LOWER
182,WEN,1230,1345,STRNG,LOWER
183,TUE,1400,1515,HYLAN,303
183,THU,1400,1515,HYLAN,303
184,TUE,1230,1345,MEL,219
184,THU,1230,1345,MEL,219
185,TUE,1400,1515,MEL,269
185,THU,1400,1515,MEL,269
186,MON,900,1015,MEL,301B
186,WEN,900,1015,MEL,301B
187,MON,1650,1805,DEWEY,2110E
187,WEN,1650,1805,DEWEY,2110E
188,TUE,1525,1640,WEGMN,1400
188,THU,1525,1640,WEGMN,1400
189,TUE,1105,1220,GAVET,312
189,THU,1105,1220,GAVET,312
190,MON,1025,1115,STRNG,LOWER
190,WEN,1025,1115,STRNG,LOWER
190,FRI,1025,1115,STRNG,LOWER
191,MON,1400,1640,MEL,111
192,THU,940,1220,MEL,111
193,TUE,940,1220,MEL,111
194,TUE,1650,1930,MEL,111
195,WEN,1400,1640,MEL,111
196,TUE,940,1055,HARK,210
196,THU,940,1055,HARK,210
197,TUE,1525,1640,MEL,203
197,THU,1525,1640,MEL,203
198,MON,1025,1115,LCHAS,141
198,WEN,1025,1115,LCHAS,141
198,FRI,1025,1115,LCHAS,141
199,TUE,1230,1345,GAVET,202
199,THU,1230,1345,GAVET,202
200,MON,1650,1805,MEL,269
200,WEN,1650,1805,MEL,269
201,MON,900,1015,GRGEN,110
201,WEN,900,1015,GRGEN,110
202,NULL,NULL,NULL,NULL,NULL
203,NULL,NULL,NULL,NULL,NULL
204,NULL,NULL,NULL,NULL,NULL
205,TUE,1105,1220,GAVET,312
205,THU,1105,1220,GAVET,312
206,TUE,900,1055,MEL,474
206,THU,900,1055,MEL,474
207,NULL,NULL,NULL,NULL,NULL
208,NULL,NULL,NULL,NULL,NULL
209,NULL,NULL,NULL,NULL,NULL
210,MON,1025,1140,MEL,269
210,WEN,1025,1140,MEL,269
211,TUE,1525,1640,MEL,203
211,THU,1525,1640,MEL,203
212,MON,1025,1115,LCHAS,141
212,WEN,1025,1115,LCHAS,141
212,FRI,1025,1115,LCHAS,141
213,NULL,NULL,NULL,NULL,NULL
214,NULL,NULL,NULL,NULL,NULL
215,NULL,NULL,NULL,NULL,NULL
216,NULL,NULL,NULL,NULL,NULL
217,NULL,NULL,NULL,NULL,NULL
218,NULL,NULL,NULL,NULL,NULL
219,NULL,NULL,NULL,NULL,NULL
220,NULL,NULL,NULL,NULL,NULL
221,NULL,NULL,NULL,NULL,NULL
222,NULL,NULL,NULL,NULL,NULL
223,NULL,NULL,NULL,NULL,NULL
224,NULL,NULL,NULL,NULL,NULL
225,TUE,1400,1515,HUTCH,138
225,THU,1400,1515,HUTCH,138
226,WEN,1400,1800,HUTCH,222
227,MON,1025,1115,GAVET,301
227,WEN,1025,1115,GAVET,301
